org/springframework/data/mongodb/ReactiveMongoDatabaseUtils	doGetSession	(Lorg/springframework/transaction/reactive/TransactionSynchronizationManager;Lorg/springframework/data/mongodb/ReactiveMongoDatabaseFactory;Lorg/springframework/data/mongodb/SessionSynchronization;)Lreactor/core/publisher/Mono;	INVOKE_STATIC	java/lang/Object::getClass()Ljava/lang/Class;
org/springframework/data/mongodb/ReactiveMongoDatabaseUtils	lambda$null$2	(Ljava/lang/String;Lorg/springframework/data/mongodb/ReactiveMongoDatabaseFactory;Lcom/mongodb/reactivestreams/client/ClientSession;)Lreactor/core/publisher/Mono;	INVOKE_STATIC	org/springframework/data/mongodb/ReactiveMongoDatabaseFactory::withSession(Lcom/mongodb/reactivestreams/client/ClientSession;)Lorg/springframework/data/mongodb/ReactiveMongoDatabaseFactory;
org/springframework/data/mongodb/ReactiveMongoDatabaseUtils	lambda$null$2	(Ljava/lang/String;Lorg/springframework/data/mongodb/ReactiveMongoDatabaseFactory;Lcom/mongodb/reactivestreams/client/ClientSession;)Lreactor/core/publisher/Mono;	INVOKE_STATIC	org/springframework/data/mongodb/ReactiveMongoDatabaseUtils::getMongoDatabaseOrDefault(Ljava/lang/String;Lorg/springframework/data/mongodb/ReactiveMongoDatabaseFactory;)Lreactor/core/publisher/Mono;
org/springframework/data/mongodb/ReactiveMongoTransactionManager	lambda$null$0	(Lorg/springframework/data/mongodb/ReactiveMongoTransactionManager$ReactiveMongoTransactionObject;Lorg/springframework/data/mongodb/ReactiveMongoResourceHolder;)V	CONSTANT	 type: class java.lang.String; value: About to start transaction for session %s.
org/springframework/data/mongodb/ReactiveMongoTransactionManager	lambda$null$0	(Lorg/springframework/data/mongodb/ReactiveMongoTransactionManager$ReactiveMongoTransactionObject;Lorg/springframework/data/mongodb/ReactiveMongoResourceHolder;)V	GET_FIELD	org/springframework/data/mongodb/ReactiveMongoTransactionManager::logger|Lorg/apache/commons/logging/Log;
org/springframework/data/mongodb/ReactiveMongoTransactionManager	lambda$null$0	(Lorg/springframework/data/mongodb/ReactiveMongoTransactionManager$ReactiveMongoTransactionObject;Lorg/springframework/data/mongodb/ReactiveMongoResourceHolder;)V	INVOKE_STATIC	java/lang/String::format(Ljava/lang/String;[Ljava/lang/Object;)Ljava/lang/String;
org/springframework/data/mongodb/ReactiveMongoTransactionManager	lambda$null$0	(Lorg/springframework/data/mongodb/ReactiveMongoTransactionManager$ReactiveMongoTransactionObject;Lorg/springframework/data/mongodb/ReactiveMongoResourceHolder;)V	INVOKE_STATIC	org/apache/commons/logging/Log::debug(Ljava/lang/Object;)V
org/springframework/data/mongodb/ReactiveMongoTransactionManager	lambda$null$0	(Lorg/springframework/data/mongodb/ReactiveMongoTransactionManager$ReactiveMongoTransactionObject;Lorg/springframework/data/mongodb/ReactiveMongoResourceHolder;)V	INVOKE_STATIC	org/apache/commons/logging/Log::isDebugEnabled()Z
org/springframework/data/mongodb/ReactiveMongoTransactionManager	lambda$null$0	(Lorg/springframework/data/mongodb/ReactiveMongoTransactionManager$ReactiveMongoTransactionObject;Lorg/springframework/data/mongodb/ReactiveMongoResourceHolder;)V	INVOKE_STATIC	org/springframework/data/mongodb/ReactiveMongoResourceHolder::getSession()Lcom/mongodb/reactivestreams/client/ClientSession;
org/springframework/data/mongodb/ReactiveMongoTransactionManager	lambda$null$0	(Lorg/springframework/data/mongodb/ReactiveMongoTransactionManager$ReactiveMongoTransactionObject;Lorg/springframework/data/mongodb/ReactiveMongoResourceHolder;)V	INVOKE_STATIC	org/springframework/data/mongodb/ReactiveMongoTransactionManager$ReactiveMongoTransactionObject::setResourceHolder(Lorg/springframework/data/mongodb/ReactiveMongoResourceHolder;)V
org/springframework/data/mongodb/ReactiveMongoTransactionManager	lambda$null$0	(Lorg/springframework/data/mongodb/ReactiveMongoTransactionManager$ReactiveMongoTransactionObject;Lorg/springframework/data/mongodb/ReactiveMongoResourceHolder;)V	INVOKE_STATIC	org/springframework/data/mongodb/ReactiveMongoTransactionManager::debugString(Lcom/mongodb/reactivestreams/client/ClientSession;)Ljava/lang/String;
org/springframework/data/mongodb/ReactiveMongoTransactionManager	lambda$null$1	(Lorg/springframework/data/mongodb/ReactiveMongoTransactionManager$ReactiveMongoTransactionObject;Lorg/springframework/data/mongodb/ReactiveMongoResourceHolder;)V	CONSTANT	 type: class java.lang.String; value: Started transaction for session %s.
org/springframework/data/mongodb/ReactiveMongoTransactionManager	lambda$null$1	(Lorg/springframework/data/mongodb/ReactiveMongoTransactionManager$ReactiveMongoTransactionObject;Lorg/springframework/data/mongodb/ReactiveMongoResourceHolder;)V	GET_FIELD	org/springframework/data/mongodb/ReactiveMongoTransactionManager::logger|Lorg/apache/commons/logging/Log;
org/springframework/data/mongodb/ReactiveMongoTransactionManager	lambda$null$1	(Lorg/springframework/data/mongodb/ReactiveMongoTransactionManager$ReactiveMongoTransactionObject;Lorg/springframework/data/mongodb/ReactiveMongoResourceHolder;)V	GET_FIELD	org/springframework/data/mongodb/ReactiveMongoTransactionManager::options|Lcom/mongodb/TransactionOptions;
org/springframework/data/mongodb/ReactiveMongoTransactionManager	lambda$null$1	(Lorg/springframework/data/mongodb/ReactiveMongoTransactionManager$ReactiveMongoTransactionObject;Lorg/springframework/data/mongodb/ReactiveMongoResourceHolder;)V	INVOKE_STATIC	java/lang/String::format(Ljava/lang/String;[Ljava/lang/Object;)Ljava/lang/String;
org/springframework/data/mongodb/ReactiveMongoTransactionManager	lambda$null$1	(Lorg/springframework/data/mongodb/ReactiveMongoTransactionManager$ReactiveMongoTransactionObject;Lorg/springframework/data/mongodb/ReactiveMongoResourceHolder;)V	INVOKE_STATIC	org/apache/commons/logging/Log::debug(Ljava/lang/Object;)V
org/springframework/data/mongodb/ReactiveMongoTransactionManager	lambda$null$1	(Lorg/springframework/data/mongodb/ReactiveMongoTransactionManager$ReactiveMongoTransactionObject;Lorg/springframework/data/mongodb/ReactiveMongoResourceHolder;)V	INVOKE_STATIC	org/apache/commons/logging/Log::isDebugEnabled()Z
org/springframework/data/mongodb/ReactiveMongoTransactionManager	lambda$null$1	(Lorg/springframework/data/mongodb/ReactiveMongoTransactionManager$ReactiveMongoTransactionObject;Lorg/springframework/data/mongodb/ReactiveMongoResourceHolder;)V	INVOKE_STATIC	org/springframework/data/mongodb/ReactiveMongoResourceHolder::getSession()Lcom/mongodb/reactivestreams/client/ClientSession;
org/springframework/data/mongodb/ReactiveMongoTransactionManager	lambda$null$1	(Lorg/springframework/data/mongodb/ReactiveMongoTransactionManager$ReactiveMongoTransactionObject;Lorg/springframework/data/mongodb/ReactiveMongoResourceHolder;)V	INVOKE_STATIC	org/springframework/data/mongodb/ReactiveMongoTransactionManager$ReactiveMongoTransactionObject::startTransaction(Lcom/mongodb/TransactionOptions;)V
org/springframework/data/mongodb/ReactiveMongoTransactionManager	lambda$null$1	(Lorg/springframework/data/mongodb/ReactiveMongoTransactionManager$ReactiveMongoTransactionObject;Lorg/springframework/data/mongodb/ReactiveMongoResourceHolder;)V	INVOKE_STATIC	org/springframework/data/mongodb/ReactiveMongoTransactionManager::debugString(Lcom/mongodb/reactivestreams/client/ClientSession;)Ljava/lang/String;
org/springframework/data/mongodb/ReactiveMongoTransactionManager	lambda$null$2	(Lorg/springframework/data/mongodb/ReactiveMongoTransactionManager$ReactiveMongoTransactionObject;Ljava/lang/Throwable;)Ljava/lang/Throwable;	CONSTANT	 type: class java.lang.String; value: Could not start Mongo transaction for session %s.
org/springframework/data/mongodb/ReactiveMongoTransactionManager	lambda$null$2	(Lorg/springframework/data/mongodb/ReactiveMongoTransactionManager$ReactiveMongoTransactionObject;Ljava/lang/Throwable;)Ljava/lang/Throwable;	INVOKE_STATIC	java/lang/String::format(Ljava/lang/String;[Ljava/lang/Object;)Ljava/lang/String;
org/springframework/data/mongodb/ReactiveMongoTransactionManager	lambda$null$2	(Lorg/springframework/data/mongodb/ReactiveMongoTransactionManager$ReactiveMongoTransactionObject;Ljava/lang/Throwable;)Ljava/lang/Throwable;	INVOKE_STATIC	org/springframework/data/mongodb/ReactiveMongoTransactionManager$ReactiveMongoTransactionObject::getSession()Lcom/mongodb/reactivestreams/client/ClientSession;
org/springframework/data/mongodb/ReactiveMongoTransactionManager	lambda$null$2	(Lorg/springframework/data/mongodb/ReactiveMongoTransactionManager$ReactiveMongoTransactionObject;Ljava/lang/Throwable;)Ljava/lang/Throwable;	INVOKE_STATIC	org/springframework/data/mongodb/ReactiveMongoTransactionManager::debugString(Lcom/mongodb/reactivestreams/client/ClientSession;)Ljava/lang/String;
org/springframework/data/mongodb/ReactiveMongoTransactionManager	lambda$null$2	(Lorg/springframework/data/mongodb/ReactiveMongoTransactionManager$ReactiveMongoTransactionObject;Ljava/lang/Throwable;)Ljava/lang/Throwable;	INVOKE_STATIC	org/springframework/transaction/TransactionSystemException::<init>(Ljava/lang/String;Ljava/lang/Throwable;)V
org/springframework/data/mongodb/ReactiveMongoTransactionManager	lambda$null$3	(Lorg/springframework/transaction/reactive/TransactionSynchronizationManager;Lorg/springframework/data/mongodb/ReactiveMongoResourceHolder;)V	INVOKE_STATIC	org/springframework/data/mongodb/ReactiveMongoTransactionManager::getRequiredDatabaseFactory()Lorg/springframework/data/mongodb/ReactiveMongoDatabaseFactory;
org/springframework/data/mongodb/ReactiveMongoTransactionManager	lambda$null$3	(Lorg/springframework/transaction/reactive/TransactionSynchronizationManager;Lorg/springframework/data/mongodb/ReactiveMongoResourceHolder;)V	INVOKE_STATIC	org/springframework/transaction/reactive/TransactionSynchronizationManager::bindResource(Ljava/lang/Object;Ljava/lang/Object;)V
org/springframework/data/mongodb/ReactiveMongoTransactionManager	lambda$null$7	(Lorg/springframework/data/mongodb/ReactiveMongoTransactionManager$ReactiveMongoTransactionObject;Ljava/lang/Throwable;)Ljava/lang/Throwable;	CONSTANT	 type: class java.lang.String; value: Could not commit Mongo transaction for session %s.
org/springframework/data/mongodb/ReactiveMongoTransactionManager	lambda$null$7	(Lorg/springframework/data/mongodb/ReactiveMongoTransactionManager$ReactiveMongoTransactionObject;Ljava/lang/Throwable;)Ljava/lang/Throwable;	INVOKE_STATIC	java/lang/String::format(Ljava/lang/String;[Ljava/lang/Object;)Ljava/lang/String;
org/springframework/data/mongodb/ReactiveMongoTransactionManager	lambda$null$7	(Lorg/springframework/data/mongodb/ReactiveMongoTransactionManager$ReactiveMongoTransactionObject;Ljava/lang/Throwable;)Ljava/lang/Throwable;	INVOKE_STATIC	org/springframework/data/mongodb/ReactiveMongoTransactionManager$ReactiveMongoTransactionObject::getSession()Lcom/mongodb/reactivestreams/client/ClientSession;
org/springframework/data/mongodb/ReactiveMongoTransactionManager	lambda$null$7	(Lorg/springframework/data/mongodb/ReactiveMongoTransactionManager$ReactiveMongoTransactionObject;Ljava/lang/Throwable;)Ljava/lang/Throwable;	INVOKE_STATIC	org/springframework/data/mongodb/ReactiveMongoTransactionManager::debugString(Lcom/mongodb/reactivestreams/client/ClientSession;)Ljava/lang/String;
org/springframework/data/mongodb/ReactiveMongoTransactionManager	lambda$null$7	(Lorg/springframework/data/mongodb/ReactiveMongoTransactionManager$ReactiveMongoTransactionObject;Ljava/lang/Throwable;)Ljava/lang/Throwable;	INVOKE_STATIC	org/springframework/transaction/TransactionSystemException::<init>(Ljava/lang/String;Ljava/lang/Throwable;)V
org/springframework/data/mongodb/ReactiveMongoTransactionManager	lambda$null$9	(Lorg/springframework/data/mongodb/ReactiveMongoTransactionManager$ReactiveMongoTransactionObject;Lcom/mongodb/MongoException;)Lreactor/core/publisher/Mono;	CONSTANT	 type: class java.lang.String; value: Could not abort Mongo transaction for session %s.
org/springframework/data/mongodb/ReactiveMongoTransactionManager	lambda$null$9	(Lorg/springframework/data/mongodb/ReactiveMongoTransactionManager$ReactiveMongoTransactionObject;Lcom/mongodb/MongoException;)Lreactor/core/publisher/Mono;	INVOKE_STATIC	java/lang/String::format(Ljava/lang/String;[Ljava/lang/Object;)Ljava/lang/String;
