JUnit version 4.13.2
2024-11-12 17:37:15,632 INFO  EvoClassLoader - Seeing class for first time: org.apache.hadoop.hdfs.server.namenode.snapshot.SnapshotDiffInfo_ESTest
2024-11-12 17:37:15,633 INFO  EvoClassLoader - Instrumenting class 'org.apache.hadoop.hdfs.server.namenode.snapshot.SnapshotDiffInfo_ESTest'.
2024-11-12 17:37:15,684 INFO  EvoClassLoader - Seeing class for first time: org.apache.hadoop.hdfs.server.namenode.snapshot.SnapshotDiffInfo_ESTest_scaffolding
2024-11-12 17:37:15,684 INFO  EvoClassLoader - Instrumenting class 'org.apache.hadoop.hdfs.server.namenode.snapshot.SnapshotDiffInfo_ESTest_scaffolding'.
2024-11-12 17:37:15,692 INFO  EvoClassLoader - Keeping class: org.apache.hadoop.hdfs.server.namenode.snapshot.SnapshotDiffInfo_ESTest_scaffolding
2024-11-12 17:37:15,692 INFO  EvoClassLoader - Keeping class: org.apache.hadoop.hdfs.server.namenode.snapshot.SnapshotDiffInfo_ESTest
2024-11-12 17:37:15,692 INFO  EvoClassLoader - Seeing class for first time: org.apache.hadoop.hdfs.util.Diff$Element
2024-11-12 17:37:15,692 INFO  EvoClassLoader - Instrumenting class 'org.apache.hadoop.hdfs.util.Diff$Element'.
2024-11-12 17:37:15,726 INFO  EvoClassLoader - Keeping class: org.apache.hadoop.hdfs.util.Diff$Element
2024-11-12 17:37:15,726 INFO  EvoClassLoader - Seeing class for first time: org.apache.hadoop.hdfs.server.namenode.INodeDirectory
2024-11-12 17:37:15,726 INFO  EvoClassLoader - Instrumenting class 'org.apache.hadoop.hdfs.server.namenode.INodeDirectory'.
2024-11-12 17:37:15,727 INFO  MethodCallReplacementClassAdapter - Adding mock interface to class org/apache/hadoop/hdfs/server/namenode/INodeDirectory
2024-11-12 17:37:15,785 INFO  CreateClassResetClassAdapter - Found static initializer in class org/apache/hadoop/hdfs/server/namenode/INodeDirectory
2024-11-12 17:37:15,787 INFO  EvoClassLoader - Seeing class for first time: org.apache.hadoop.hdfs.server.namenode.INodeDirectoryAttributes
2024-11-12 17:37:15,787 INFO  EvoClassLoader - Instrumenting class 'org.apache.hadoop.hdfs.server.namenode.INodeDirectoryAttributes'.
2024-11-12 17:37:15,787 INFO  EvoClassLoader - Seeing class for first time: org.apache.hadoop.hdfs.server.namenode.INodeAttributes
2024-11-12 17:37:15,787 INFO  EvoClassLoader - Instrumenting class 'org.apache.hadoop.hdfs.server.namenode.INodeAttributes'.
2024-11-12 17:37:15,788 INFO  EvoClassLoader - Keeping class: org.apache.hadoop.hdfs.server.namenode.INodeAttributes
2024-11-12 17:37:15,788 INFO  EvoClassLoader - Keeping class: org.apache.hadoop.hdfs.server.namenode.INodeDirectoryAttributes
